objectid,filename,title,owner,count,description,color,size,article,location,condition,dances,type,format,rights
Dc1.1,Dc1.1.jpg,Patchwork cloak,AADC,1,black velvet cloak with patchwork material sewn on back,black; multicolor,n/a,cloak,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.2-3,Dc1.2-3.jpg,Silver Overshirt,AADC,2,sheer rhinestone tulle overshirt,silver,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.4-5,Dc1.4-5.jpg,Plum Overshirt,AADC,2,sheer rhinestone tulle overshirt,plum; purple,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.6-7,Dc1.6-7.jpg,Teal Overshirt,AADC,2,sheer rhinestone tulle overshirt,teal; blue; green,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.8-9,Dc1.8-9.jpg,Light Pink Overshirt,AADC,2,sheer rhinestone tulle overshirt,light pink; pink,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.10,Dc1.10.jpg,Hot Pink Overshirt,AADC,1,sheer rhinestone tulle overshirt,hot pink; pink,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.11-12,Dc1.11-12.jpg,Lavendar Overshirt,AADC,2,sheer rhinestone tulle overshirt,lavender; purple,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.13,Dc1.13.jpg,Coral Overshirt,AADC,1,sheer rhinestone tulle overshirt; small tear on shoulder,coral; pink,n/a,overshirt,Cabinet 1,fair,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.14,Dc1.14.jpg,Cerulean Overshirt,AADC,1,sheer rhinestone tulle overshirt,cerulean; blue,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.15,Dc1.15.jpg,Brown Overshirt,AADC,1,sheer rhinestone tulle overshirt,chocolate brown; brown,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.16,Dc1.16.jpg,Yellow Overshirt,AADC,1,sheer rhinestone tulle overshirt,yellow,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.17,Dc1.17.jpg,Dark Blue Overshirt,AADC,1,sheer rhinestone tulle overshirt,dark blue; blue,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.18-26,Dc1.18-26.jpg,Dusty Pink Overshirt,AADC,9,irridencent semi-sheer overshirt; first 3 items have hem tears,dusty pink; pink,n/a,overshirt,Cabinet 1,fair,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.27,Dc1.27.jpg,Pink Overshirt,AADC,1,irridencent semi-sheer overshirt; frayed hem,pink,n/a,overshirt,Cabinet 1,fair,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.28-29,Dc1.28-29.jpg,Light Blue Overshirt,AADC,2,irridencent semi-sheer overshirt; first has frayed hem,light blue; blue,n/a,overshirt,Cabinet 1,fair,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.30-33,Dc1.30-33.jpg,Magenta Overshirt,AADC,4,irridencent semi-sheer overshirt; first has frayed hem,magenta; pink,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.34-37,Dc1.34-37.jpg,Silver Overshirt,AADC,4,irridencent semi-sheer overshirt,silver,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.38-39,Dc1.38-39.jpg,White Overshirt,AADC,2,sheer tulle overshirt,white,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Ds1.1,Ds1.1.jpg,Tie Dye Wrap Skirt,AADC,1,tie dye wrap skirt,chartreuse; green,n/a,skirt,"Cabinet 1, shelf",good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Ds1.2-3,Ds1.2-3.jpg,Tie Dye Pants,AADC,2,tie dye pants; first has frayed hems,blue,n/a,pants,"Cabinet 1, shelf",good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Ds1.4,Ds1.4.jpg,Tie Dye Pants,AADC,1,large tie dye pants,orange,n/a,pants,"Cabinet 1, shelf",good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Ds1.5-6,Ds1.5-6.jpg,Colorful Print Pants,AADC,2,first has torn inseam,multicolor,n/a,pants,"Cabinet 1, shelf",fair,,Image;StillImage,image/jpeg,In Copyright- AAAI
Ds1.7,Ds1.7.jpg,Colorful Plaid Pants,AADC,1,"pink, orange, green, yellow, purple plaid",multicolor,n/a,pants,"Cabinet 1, shelf",good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Ds1.8-10,Ds1.8-10.jpg,Yellow Pants,AADC,3,bright yellow pants; first has small stain,yellow,n/a,pants,"Cabinet 1, shelf",good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Ds1.11-12,Ds1.11-12.jpg,Green Pants,AADC,2,green pants,green,n/a,pants,"Cabinet 1, shelf",good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Ds1.13,Ds1.13.jpg,Tie Dye Capris,AADC,1,cargo capris with bleached tie die spots,beige; brown,n/a,pants,"Cabinet 1, shelf",good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Ds1.14,Ds1.14.jpg,Mock-up Shirt,AADC,1,rough shirt mock-up,cream; white,n/a,shirt,"Cabinet 1, shelf",fair,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.1,Dc2.1.jpg,White Petticoat,AADC,1,white petticoat,white,n/a,shirt,Cabinet 2,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.2,Dc2.2.jpg,White Blazer,AADC,1,white blazer,white,10T,jacket,Cabinet 2,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.3,Dc2.3.jpg,White Vest,AADC,1,yellowed front panels,white,n/a,vest,Cabinet 2,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.4,Dc2.4.jpg,White Shirt,AADC,1,"long sleeved, lace detail on front, shortened back",white,n/a,shirt,Cabinet 2,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.5,Dc2.5.jpg,Sheer Pants,AADC,1,sheer flowy pants,white,n/a,pants,Cabinet 2,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.6,Dc2.6.jpg,White Leotard,AADC,1,white long-sleeved leotard,white,medium,leotard,Cabinet 2,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.7,Dc2.7.jpg,Lace Shrug,AADC,1,white lace shrug; lightly torn seam,white,n/a,shrug,Cabinet 2 ,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.8,Dc2.8.jpg,Cream and Green Pants,AADC,1,cream pantes with green stripes,white; green,extra small,pants,Cabinet 2,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.9,Dc2.9.jpg,White Mini-cape,AADC,1,white mini-cape,white,n/a,cape,Cabinet 2,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc2.10,Dc2.10.jpg,Sheer White Pants,AADC,1,sheer white pants,white,small,pants,Cabinet 2,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
